country,year,sex,duration,value,quality_obs_flag,quality_conf_status,dataflow,last_update,freq,age,unit
Greece,2019,Females,From 0 to 11 months,12.8,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2020,Females,From 0 to 11 months,10.6,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2021,Females,From 0 to 11 months,12.1,b,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2022,Females,From 0 to 11 months,12.5,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2023,Females,From 0 to 11 months,11.8,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2024,Females,From 0 to 11 months,11.0,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Greece,2025,Females,From 0 to 11 months,10.5,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2016,Females,From 0 to 11 months,17.1,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2017,Females,From 0 to 11 months,18.1,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2018,Females,From 0 to 11 months,18.3,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2019,Females,From 0 to 11 months,17.7,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2020,Females,From 0 to 11 months,15.5,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2021,Females,From 0 to 11 months,17.1,bd,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2022,Females,From 0 to 11 months,18.4,d,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2023,Females,From 0 to 11 months,18.3,d,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2024,Females,From 0 to 11 months,17.9,d,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
Spain,2025,Females,From 0 to 11 months,17.5,d,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
European Union - 27 countries (from 2020),2016,Females,From 0 to 11 months,13.2,,,ESTAT:LFSA_EGAD(1.0),2017-04-26 11:00:00,Annual,From 20 to 64 years,Percentage
