country,year,sex,value,quality_obs_status_label,quality_note_indicator_label,quality_note_source_label,source_label,indicator_label
Burkina Faso,2023,Male,42.62,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Regional Integrated Survey on Employment and the Informal Sector,Mean weekly hours usually worked per employee by sex
Burkina Faso,2023,Female,37.88,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Regional Integrated Survey on Employment and the Informal Sector,Mean weekly hours usually worked per employee by sex
Burkina Faso,2022,Male,45.81,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Harmonized Survey on Household Living Conditions,Mean weekly hours usually worked per employee by sex
Burkina Faso,2022,Female,40.25,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Harmonized Survey on Household Living Conditions,Mean weekly hours usually worked per employee by sex
Burkina Faso,2019,Male,47.12,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Harmonized Survey on Household Living Conditions,Mean weekly hours usually worked per employee by sex
Burkina Faso,2019,Female,43.03,,,Repository: ILO-STATISTICS - Micro data processing,HIES - Harmonized Survey on Household Living Conditions,Mean weekly hours usually worked per employee by sex
Burkina Faso,2018,Male,51.76,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Regional Integrated Survey on Employment and the Informal Sector,Mean weekly hours usually worked per employee by sex
Burkina Faso,2018,Female,45.09,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Regional Integrated Survey on Employment and the Informal Sector,Mean weekly hours usually worked per employee by sex
Bangladesh,2017,Male,54.68,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bangladesh,2017,Female,49.76,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2024,Male,39.97,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2024,Female,39.8,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2023,Male,40.11,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2023,Female,39.78,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2022,Male,40.23,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2022,Female,39.87,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2021,Male,40.5,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2021,Female,40.07,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2020,Male,40.51,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2020,Female,40.0,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2019,Male,40.66,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2019,Female,40.06,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2018,Male,40.9,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2018,Female,40.31,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2017,Male,40.95,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2017,Female,40.25,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2016,Male,40.92,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2016,Female,40.4,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2015,Male,40.91,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bulgaria,2015,Female,40.29,,,Repository: ILO-STATISTICS - Micro data processing,LFS - EU Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bahamas,2019,Male,40.67,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force & Household Survey,Mean weekly hours usually worked per employee by sex
Bahamas,2019,Female,39.02,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force & Household Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2024,Male,41.74,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2024,Female,41.49,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2023,Male,41.95,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2023,Female,41.7,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2022,Male,42.04,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2022,Female,41.62,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2021,Male,42.04,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2021,Female,41.26,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2020,Male,41.87,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2020,Female,41.14,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2019,Male,42.92,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2019,Female,41.85,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2018,Male,43.19,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2018,Female,41.42,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2017,Male,42.38,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2017,Female,41.54,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
Bosnia and Herzegovina,2016,Male,43.24,,,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,Mean weekly hours usually worked per employee by sex
